total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
85,102,driving,1,3,2,25,72308,2816,2025,3918,3531,4972,1243243,2000,exponential,2000,1920,1080,1920x1080,48000,19.391,1.929,69.142,65209.944,-17.549,1.993,10.358,451018.0002,366
86,102,driving,1,3,2,26,76322,2814,2014,3091,2745,3862,965571,2000,exponential,2000,1280,720,1280x720,50000,57.382,1.979,69.047,67463.335,-17.545,1.964,17.151,358661.632,337
87,102,driving,1,3,2,27,80259,2735,1936,3091,2715,3714,928511,2000,exponential,2000,1280,720,1280x720,52000,65.502,2.027,68.872,70288.241,-17.547,1.938,17.3,357170.2171,322
88,102,driving,1,3,2,28,83446,2008,1187,2422,2839,2850,712647,2000,exponential,2000,1280,720,1280x720,54000,49.533,2.042,67.759,69560.069,-17.646,1.918,14.392,370935.4221,248
89,102,driving,1,3,2,29,85799,1023,352,2422,5106,2611,652986,2000,exponential,2000,1280,720,1280x720,56000,20.067,2.056,65.972,67230.436,-18.074,1.903,27.493,672208.2953,144
90,102,driving,1,3,2,30,88357,1320,558,3091,4606,3040,760048,2000,exponential,2000,1280,720,1280x720,58000,30.792,2.097,65.385,67765.803,-18.69,1.898,12.335,603225.4712,223
91,102,driving,1,3,2,31,91920,2225,1563,3918,2669,2970,742523,2000,exponential,2000,1920,1080,1920x1080,60000,37.364,2.14,66.762,74490.709,-17.842,1.863,15.773,344183.0549,258
92,102,driving,1,3,2,32,95701,2420,1780,3918,2855,3454,863643,2000,exponential,2000,1920,1080,1920x1080,62000,22.692,2.182,68.065,82075.13,-17.594,1.848,0.252,367277.0051,300
93,102,driving,1,3,2,33,99346,2248,1645,3091,2898,3257,814491,2000,exponential,2000,1280,720,1280x720,64000,19.155,2.217,68.102,84586.521,-17.587,1.834,19.34,371291.9297,283
94,102,driving,1,3,2,34,101665,972,319,2422,2808,1364,341237,2000,exponential,2000,1280,720,1280x720,66000,27.123,2.223,66.672,81956.349,-17.923,1.823,11.566,370584.2133,119
95,102,driving,1,3,2,35,103840,854,174,2422,4715,2013,503338,2000,exponential,2000,1280,720,1280x720,68000,15.608,2.23,65.326,79965.716,-20.526,1.814,19.16,625809.0414,120
96,102,driving,1,3,2,36,105700,467,0,3091,6770,1580,395219,2140,exponential,2000,1280,720,1280x720,70000,18.359,2.261,65.11,81431.083,-31.325,1.816,16.244,936449.448,88
97,102,driving,1,3,2,37,107766,645,0,4375,7957,2566,641568,2074,exponential,2000,1920,1080,1920x1080,72000,16.528,2.286,65.28,84000.989,2.835,1.818,19.147,1077693.053,130
98,102,driving,1,3,2,38,109958,703,117,4375,6545,2300,575203,2000,exponential,2000,1920,1080,1920x1080,74000,15.777,2.312,65.653,88727.008,-54.198,1.808,18.617,878977.2918,120
99,102,driving,1,3,2,39,112064,579,105,4375,8053,2331,582905,2000,exponential,2000,1920,1080,1920x1080,76000,17.033,2.34,65.998,93417.027,-27.919,1.799,18.938,1102579.811,94
100,102,driving,1,3,2,40,114127,625,63,4375,7628,2383,595956,2000,exponential,2000,1920,1080,1920x1080,78000,21.416,2.369,66.211,97630.046,-35.231,1.792,3.341,1044559.148,123
101,102,driving,1,3,2,41,116315,654,187,4375,8244,2695,673957,2000,exponential,2000,1920,1080,1920x1080,80000,23.767,2.398,66.509,102251.065,-26.777,1.785,3.18,1150831.313,131
102,102,driving,1,3,2,42,118538,877,223,4375,6575,2883,720811,2000,exponential,2000,1920,1080,1920x1080,82000,40.326,2.428,66.846,107106.084,-22.135,1.778,15.617,910961.2146,134
103,102,driving,1,3,2,43,120698,687,160,4375,9121,3133,783316,2000,exponential,2000,1920,1080,1920x1080,84000,36.533,2.458,67.042,111400.103,-22.741,1.769,16.634,1290336.871,157
104,102,driving,1,3,2,44,124002,1784,1303,4375,3404,3036,759245,2000,exponential,2000,1920,1080,1920x1080,86000,36.122,2.488,67.957,119015.122,-18.2,1.763,24.654,443744.3434,253
105,102,driving,1,3,2,45,127058,1531,1055,4375,3369,2579,644772,2000,exponential,2000,1920,1080,1920x1080,88000,48.853,2.519,68.711,126075.141,-17.685,1.757,18.887,451200.6928,224
106,102,driving,1,3,2,46,128741,185,0,4375,27679,2560,640089,2318,exponential,2000,1920,1080,1920x1080,90000,47.732,2.548,68.054,126541.16,-18.774,1.758,22.633,7714044.768,86
107,102,driving,1,3,2,47,132028,1753,969,4375,3251,2850,712539,2000,exponential,2000,1920,1080,1920x1080,92000,53.436,2.578,68.169,130658.179,-18.986,1.753,26.458,433174.3687,238
108,102,driving,1,3,2,48,135322,1733,1293,4375,3290,2851,712828,2000,exponential,2000,1920,1080,1920x1080,94000,47.407,2.607,69.111,138912.198,-17.699,1.748,18.845,437275.667,247
109,102,driving,1,3,2,49,138174,1313,852,4375,5297,3477,869463,2000,exponential,2000,1920,1080,1920x1080,96000,44.086,2.636,69.183,142936.217,-17.745,1.744,11.015,705850.9386,268
110,102,driving,1,3,2,50,140597,852,422,3091,5544,2361,590446,2000,exponential,2000,1280,720,1280x720,98000,48.368,2.651,68.649,142132.01,-18.494,1.741,15.021,769485.0029,121
111,102,driving,1,3,2,51,143145,922,548,4375,4579,2111,527767,2000,exponential,2000,1920,1080,1920x1080,100000,52.051,2.678,68.633,144311.916,-19.118,1.738,12.579,632022.102,113
112,102,driving,1,3,2,52,145059,272,0,4375,8094,1100,275228,2086,exponential,2000,1920,1080,1920x1080,102000,38.019,2.706,68.542,147420.935,-21.43,1.738,0.198,1276323.35,48
113,102,driving,1,3,2,53,147673,991,528,4375,9688,4800,1200140,2000,exponential,2000,1920,1080,1920x1080,104000,48.634,2.733,68.673,151735.954,-21.748,1.735,14.761,1311959.254,182
114,102,driving,1,3,2,54,151121,1759,1447,4375,7145,6284,1571135,2000,exponential,2000,1920,1080,1920x1080,106000,16.321,2.759,69.582,160451.973,-17.861,1.733,2.872,922352.8183,290
115,102,driving,1,3,2,55,154536,1716,1415,4375,8857,7599,1899904,2000,exponential,2000,1920,1080,1920x1080,108000,24.355,2.785,70.164,167487.992,-17.484,1.73,0.214,1148304.937,253
116,102,driving,1,3,2,56,156886,801,349,4375,23852,9552,2388192,2000,exponential,2000,1920,1080,1920x1080,110000,60.057,2.811,69.705,168569.011,-18.021,1.728,23.921,3472530.652,256
117,102,driving,1,3,2,57,160913,2341,2027,4375,7363,8619,2154759,2000,exponential,2000,1920,1080,1920x1080,112000,51.276,2.836,70.125,174780.03,-17.655,1.726,16.503,966133.0853,458
